,Genome,Genus,Species,AA10,AA3,CBM13,CBM3,CBM32,CBM34,CBM4,CBM48,CBM5,CBM63,CE1,CE11,CE12,CE2,CE4,CE8,CE9,GH1,GH102,GH103,GH104,GH105,GH108,GH12,GH13,GH153,GH18,GH19,GH2,GH20,GH23,GH24,GH26,GH28,GH3,GH30,GH31,GH32,GH33,GH36,GH38,GH4,GH42,GH43,GH5,GH53,GH65,GH68,GH73,GH77,GH78,GH8,GH88,GH91,GH94,GT1,GT11,GT14,GT19,GT2,GT20,GT25,GT26,GT28,GT30,GT32,GT35,GT4,GT41,GT5,GT51,GT52,GT56,GT73,GT8,GT81,GT83,GT84,GT9,GT97,PL1,PL10,PL11,PL17,PL2,PL22,PL26,PL3,PL4,PL9
196,GCF_000696465.1,Pectobacterium,atrosepticum,0,0,0,1,1,0,0,2,0,1,1,1,1,0,1,2,1,9,1,1,0,2,0,1,4,1,0,0,1,0,7,0,0,4,3,0,1,1,1,1,0,2,1,2,1,2,0,0,1,1,0,0,0,0,0,1,0,0,1,8,0,1,1,1,1,0,2,5,1,1,3,0,1,0,2,1,1,0,4,0,6,0,0,0,2,1,1,2,1,2
197,GCF_014946865.1,Pectobacterium,aquaticum,0,0,0,0,1,0,0,2,0,1,1,1,1,0,0,1,1,9,1,1,0,2,0,0,2,0,0,0,1,0,6,1,0,3,2,0,1,1,1,1,1,1,1,2,1,2,0,0,1,1,0,0,0,0,1,0,0,0,1,3,0,0,1,1,1,0,2,1,0,1,3,0,1,0,1,0,0,1,3,0,4,0,0,0,2,1,1,1,1,2
198,GCF_002904025.1,Pectobacterium,carotovorum,0,0,1,0,1,0,0,2,0,1,1,1,1,0,0,2,1,9,1,1,0,2,0,1,4,0,0,0,1,0,6,3,0,4,2,0,0,2,1,0,0,3,1,1,1,2,0,0,1,1,0,1,0,0,1,1,0,0,1,4,0,0,1,1,1,0,2,3,1,1,3,0,1,1,0,1,1,1,3,0,6,0,1,0,2,1,1,2,1,2
199,GCF_018361225.1,Dickeya,dianthicola,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,2,1,5,1,2,1,2,0,0,2,0,0,2,1,0,8,1,0,3,3,0,1,2,1,1,0,0,1,1,2,1,0,0,1,1,0,1,0,1,1,2,0,0,1,8,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,1,4,0,6,0,0,0,1,1,1,2,2,3
200,GCF_003628015.1,Pectobacterium,parmentieri,0,0,1,1,1,0,0,2,0,1,1,1,1,0,1,2,2,8,1,1,0,2,0,1,3,1,0,0,1,0,7,1,0,3,3,0,1,1,1,1,0,0,2,3,1,2,1,0,1,1,0,1,0,0,0,1,0,0,1,9,0,0,1,1,1,0,2,4,0,1,3,0,1,0,2,0,1,0,3,0,5,0,0,0,2,1,1,1,1,2
201,GCF_004296765.1,Pectobacterium,carotovorum,0,0,0,0,1,0,0,2,0,1,1,1,1,0,0,2,1,10,1,1,0,2,0,1,3,0,0,0,1,0,6,2,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,1,0,0,0,1,6,0,0,1,1,1,0,2,3,1,1,3,0,1,0,0,0,1,1,3,0,6,0,0,0,2,1,1,2,1,2
202,GCF_016949705.1,Pectobacterium,brasiliense,0,0,0,0,1,0,0,2,0,1,1,1,2,0,0,2,1,10,1,2,0,2,0,0,3,0,0,0,1,0,6,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,7,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,0,2,0,6,0,0,0,2,1,0,2,1,2
203,GCF_016949435.1,Pectobacterium,brasiliense,0,0,1,1,1,0,0,2,0,1,1,1,2,0,0,2,1,10,1,2,1,2,0,1,3,0,0,0,1,0,8,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,8,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,0,3,0,6,0,0,0,2,1,0,2,1,2
204,GCF_016988595.1,Pectobacterium,brasiliense,0,0,1,1,1,0,0,2,0,1,1,1,2,0,0,2,1,10,1,2,1,2,0,0,3,0,0,0,1,0,5,2,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,7,0,1,1,1,1,0,2,2,0,1,3,0,1,0,1,1,1,0,3,0,6,0,0,0,2,1,0,2,1,2
205,GCF_002904225.1,Pectobacterium,carotovorum,0,0,1,0,1,0,0,2,0,1,1,1,1,0,0,2,1,9,1,1,0,2,1,1,4,0,0,0,1,0,6,2,0,4,2,0,0,2,1,0,0,3,1,1,1,2,0,0,1,1,0,1,0,0,1,1,0,0,1,6,0,0,1,1,1,1,2,3,1,1,3,0,1,0,1,1,1,1,4,0,6,0,0,0,2,1,1,2,1,2
206,GCF_016949695.1,Pectobacterium,polaris,0,0,1,0,1,0,0,2,0,1,1,1,1,0,0,2,1,9,1,2,0,2,1,1,3,0,0,0,1,0,6,3,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,1,1,0,0,0,0,0,0,1,6,0,0,1,1,1,0,2,2,1,1,3,0,1,0,1,1,1,0,4,0,6,0,1,0,2,1,1,2,1,2
207,GCF_000808295.1,Pectobacterium,brasiliense,0,0,1,0,1,0,0,2,0,1,1,1,2,0,0,2,1,10,1,2,0,2,0,0,3,0,0,0,1,0,5,0,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,5,0,0,1,1,1,0,2,4,1,1,4,0,1,0,0,1,1,0,3,0,6,0,0,0,2,1,0,2,1,2
208,GCF_002904195.1,Pectobacterium,carotovorum,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,2,1,9,1,1,0,2,0,1,4,0,0,0,1,0,7,1,0,4,2,0,0,2,0,0,0,3,1,1,1,2,0,0,1,1,0,1,0,0,1,1,0,0,1,4,0,0,1,1,1,0,2,3,1,1,3,0,1,1,0,1,1,1,4,0,6,0,1,0,2,1,1,2,1,2
209,GCF_000808435.1,Pectobacterium,carotovorum,0,0,0,0,1,0,0,2,0,1,1,1,1,0,0,2,1,10,1,2,0,2,0,1,3,0,0,0,1,0,5,2,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,1,0,0,0,1,7,0,0,1,1,1,0,2,1,1,1,3,0,1,0,1,0,1,1,3,0,6,0,1,0,2,1,1,2,1,2
210,GCF_016949995.1,Pectobacterium,brasiliense,0,0,1,1,1,0,0,2,0,1,1,1,2,0,0,2,1,10,1,2,1,2,0,1,3,0,0,0,1,0,7,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,8,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,0,3,0,6,0,0,0,2,1,0,2,1,2
211,GCF_004296665.1,Pectobacterium,carotovorum,0,0,1,0,1,0,0,2,0,1,1,1,1,0,0,2,1,10,1,1,0,2,0,1,3,0,0,0,1,0,6,1,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,1,0,0,0,1,5,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,0,1,1,3,0,6,0,0,0,2,1,1,2,1,2
212,GCF_003312355.1,Pectobacterium,peruviense,0,0,0,1,1,0,0,2,0,1,1,1,1,0,1,2,1,10,1,1,0,2,0,1,3,1,0,0,1,0,7,2,0,4,2,0,1,1,1,1,0,1,1,4,1,2,0,0,1,1,0,1,0,0,0,1,0,0,1,7,0,0,1,1,1,1,2,4,0,1,3,0,1,0,2,1,1,0,4,0,6,0,0,0,2,1,1,2,1,2
213,GCF_000808375.1,Pectobacterium,brasiliense,0,0,0,1,1,0,0,2,0,1,1,1,2,0,0,2,1,11,1,2,0,2,0,0,3,0,0,0,1,0,6,2,0,4,2,1,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,5,0,0,1,1,1,0,2,1,0,1,3,0,1,0,1,1,1,0,4,0,6,0,0,0,2,1,0,2,1,2
214,GCF_014893095.1,Dickeya,dianthicola,0,0,0,0,0,0,0,2,0,2,1,1,1,1,0,2,1,5,1,2,2,2,0,0,2,0,0,1,1,0,5,1,0,3,4,0,1,1,1,1,0,0,1,1,2,1,0,0,1,1,1,1,0,0,0,2,0,0,1,9,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,0,4,0,6,0,0,0,1,1,1,2,2,3
215,GCF_014946775.1,Pectobacterium,aquaticum,0,0,0,0,1,0,0,2,0,1,1,1,1,0,0,1,1,9,1,1,1,2,0,0,2,0,0,0,1,0,5,2,0,3,2,0,1,1,1,1,1,1,1,2,1,2,0,0,1,1,0,0,0,0,1,0,0,0,1,2,0,0,1,1,1,0,2,2,1,1,3,0,1,0,1,0,0,1,4,0,4,0,0,0,2,1,1,1,1,2
216,GCF_003628655.1,Pectobacterium,parmentieri,0,0,1,1,1,0,0,2,0,1,1,1,1,0,1,2,2,7,1,1,1,2,0,1,3,1,0,0,1,0,7,1,0,3,3,0,1,1,1,1,0,0,2,3,1,2,1,0,1,1,0,1,0,0,0,1,0,0,1,10,0,1,1,1,1,0,2,3,0,1,3,0,1,0,1,0,1,0,4,0,5,0,0,0,2,1,1,1,1,2
217,GCF_013488025.1,Pectobacterium,carotovorum,0,0,0,0,1,0,0,2,0,1,1,1,1,0,0,2,1,10,1,1,0,2,0,1,3,0,0,0,1,0,5,4,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,1,0,0,0,1,5,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,1,3,0,6,0,0,0,2,1,1,2,1,2
218,GCF_016949335.1,Pectobacterium,brasiliense,0,0,1,1,1,0,0,2,0,1,1,1,2,0,0,2,1,10,1,2,1,2,0,1,3,0,0,0,1,0,8,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,8,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,0,3,0,6,0,0,0,2,1,0,2,1,2
219,GCF_009931215.1,Pectobacterium,carotovorum,0,0,1,0,1,0,0,2,0,1,1,1,1,0,0,2,1,10,1,1,0,2,0,1,3,0,0,0,1,0,6,2,0,2,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,1,0,0,0,1,5,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,1,3,0,6,0,0,0,2,1,0,2,1,2
220,GCF_013449415.1,Pectobacterium,carotovorum,0,0,0,0,1,0,0,2,0,1,1,1,1,0,0,2,1,10,1,2,0,2,0,1,3,0,0,0,1,0,5,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,1,1,0,0,1,5,0,0,1,1,1,0,2,1,1,1,3,0,1,0,1,1,1,1,3,0,6,0,1,0,2,1,1,2,1,2
221,GCF_000025065.1,Dickeya,zeae,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,4,1,2,2,3,0,0,2,0,0,1,1,0,6,0,0,2,3,1,1,1,2,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,10,0,0,1,1,1,0,2,7,1,1,3,0,1,0,0,1,1,1,4,0,6,0,0,0,1,1,0,2,1,3
222,GCF_018361185.1,Dickeya,dianthicola,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,2,1,5,1,2,1,2,0,0,2,0,0,2,1,0,8,1,0,3,3,0,1,2,1,1,0,0,1,1,2,1,0,0,1,1,0,1,0,1,1,2,0,0,1,8,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,1,4,0,6,0,0,0,1,1,1,2,2,3
223,GCF_000758345.1,Dickeya,fangzhongdai,0,0,0,0,0,0,1,2,0,1,1,1,1,0,0,2,1,5,1,2,1,2,0,0,2,0,0,3,1,0,5,1,1,3,3,1,1,1,2,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,2,0,0,1,11,0,0,1,1,1,0,2,8,1,1,3,0,1,0,0,1,1,0,4,0,8,1,0,0,1,1,1,2,1,3
224,GCF_004296685.1,Pectobacterium,carotovorum,0,0,0,0,1,0,0,2,0,1,1,1,1,0,0,2,1,10,1,2,0,2,1,0,3,0,0,0,1,0,5,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,1,1,0,0,1,6,0,0,1,1,1,0,2,2,0,1,3,0,1,0,0,1,1,1,2,0,6,0,0,0,2,1,1,2,1,2
225,GCF_018634035.1,Pectobacterium,atrosepticum,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,2,1,9,1,1,0,2,0,1,3,1,0,0,1,0,6,0,0,4,3,0,1,1,1,1,0,2,1,2,1,2,0,0,1,1,0,1,0,0,0,1,0,0,1,8,0,0,1,1,1,0,2,5,1,1,3,0,1,0,1,1,1,0,4,0,6,0,0,0,2,1,1,2,1,2
226,GCF_000769535.1,Pectobacterium,carotovorum,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,2,1,7,1,1,0,2,1,1,3,0,0,0,1,0,5,2,0,4,2,0,0,2,1,0,0,3,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,6,0,0,1,1,1,1,0,3,1,0,3,0,1,0,1,1,1,1,4,0,5,0,0,0,2,1,0,2,0,1
227,GCF_000023545.1,Dickeya,paradisiaca,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,1,7,1,1,1,2,0,0,2,0,0,1,1,0,4,1,0,2,3,1,1,1,2,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,8,0,0,1,1,1,0,2,5,0,1,3,0,1,0,0,1,1,0,4,0,6,0,0,0,1,1,0,0,0,3
228,GCF_004296725.1,Pectobacterium,carotovorum,0,0,0,0,1,0,0,2,0,1,1,1,1,0,0,2,1,10,1,1,0,2,0,1,3,0,0,0,1,0,5,1,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,1,0,0,0,1,7,0,0,1,1,1,0,2,3,1,1,3,0,1,0,0,1,1,1,3,0,6,0,0,0,2,1,1,2,1,2
229,GCF_016949095.1,Pectobacterium,brasiliense A,0,0,1,0,1,0,0,2,0,0,1,1,1,0,0,2,1,9,1,1,0,2,0,0,2,0,0,0,1,0,7,2,0,3,2,0,1,1,1,1,1,1,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,1,1,0,2,3,0,1,3,0,1,0,1,0,1,0,3,0,5,0,0,0,2,1,1,1,1,2
230,GCF_018361205.1,Dickeya,dianthicola,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,2,1,5,1,2,1,2,0,0,2,0,0,2,1,0,8,1,0,3,3,0,1,2,1,1,0,0,1,1,2,1,0,0,1,1,0,1,0,1,1,2,0,0,1,8,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,1,4,0,6,0,0,0,1,1,1,2,2,3
231,GCF_002921285.1,Pectobacterium,carotovorum,0,0,0,0,1,0,0,2,0,1,1,1,1,0,0,2,1,10,1,1,0,2,1,1,3,0,0,0,1,0,5,1,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,1,0,0,0,1,5,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,1,3,0,6,0,0,0,2,1,1,2,1,2
232,GCF_000808115.1,Pectobacterium,brasiliense,0,0,0,1,1,0,0,2,0,1,1,1,2,0,0,2,1,10,1,2,0,2,0,1,3,0,0,0,1,0,6,2,0,4,2,1,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,5,0,0,1,1,1,0,2,1,1,1,3,0,1,0,1,1,1,0,4,0,6,0,0,0,2,1,0,2,1,2
233,GCF_014854775.1,Dickeya,fangzhongdai,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,2,1,5,1,2,1,2,0,0,2,0,0,2,1,0,5,1,1,3,3,1,1,1,2,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,9,0,0,1,1,1,0,2,8,1,1,3,0,1,0,0,1,1,0,4,0,7,1,0,0,1,1,1,2,1,3
234,GCF_002804265.1,Pectobacterium,atrosepticum,0,0,0,1,1,0,0,2,0,1,1,1,1,0,1,2,1,9,1,1,0,2,0,1,4,1,0,0,1,0,7,0,0,4,3,0,1,1,1,1,0,2,1,2,1,2,0,0,1,1,0,1,0,0,0,1,0,0,1,8,0,1,1,1,1,0,2,5,1,1,3,0,1,0,2,1,1,0,4,0,6,0,0,0,2,1,1,2,1,2
235,GCF_018361125.1,Dickeya,dianthicola,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,2,1,5,1,2,1,2,0,0,2,0,0,2,1,0,8,1,0,3,3,0,1,2,1,1,0,0,1,1,2,1,0,0,1,1,0,1,0,1,1,2,0,0,1,8,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,1,4,0,6,0,0,0,1,1,1,2,2,3
236,GCF_016949515.1,Pectobacterium,brasiliense,0,0,0,1,1,0,0,2,0,1,1,1,2,0,0,2,1,9,1,2,0,2,0,0,3,0,0,1,1,0,5,1,0,4,2,0,1,1,1,1,0,1,1,3,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,8,0,1,1,1,1,1,2,2,0,1,3,0,1,0,1,1,1,0,3,0,6,0,0,0,2,1,0,2,1,2
237,GCF_016950285.1,Pectobacterium,brasiliense,0,0,0,1,1,0,0,2,0,1,1,1,2,0,0,2,1,10,1,2,0,2,0,0,3,0,0,0,1,0,6,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,6,0,0,1,1,1,0,2,2,1,1,3,0,1,0,0,1,1,0,2,0,6,0,0,0,2,1,0,2,1,2
238,GCF_016949885.1,Pectobacterium,brasiliense,0,0,1,1,1,0,0,2,0,1,1,1,2,0,0,2,1,10,1,2,1,2,0,1,3,0,0,0,1,0,7,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,8,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,0,3,0,6,0,0,0,2,1,0,2,1,2
239,GCF_002920045.2,Pectobacterium,parmentieri,0,0,1,1,1,0,0,2,0,1,1,1,1,0,1,2,2,7,1,1,0,2,0,1,3,1,0,0,1,0,5,0,0,3,3,0,1,1,1,1,0,0,2,3,1,2,1,0,1,1,0,1,0,0,0,1,0,0,1,8,0,0,1,1,1,0,2,4,0,1,3,0,1,0,2,0,1,0,3,0,5,0,0,0,2,1,1,1,1,2
240,GCF_018361105.1,Dickeya,dianthicola,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,2,1,5,1,2,1,2,0,0,2,0,0,2,1,0,8,1,0,3,3,0,1,2,1,1,0,0,1,1,2,1,0,0,1,1,0,1,0,1,1,2,0,0,1,8,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,1,4,0,6,0,0,0,1,1,1,2,2,3
241,GCF_002921295.1,Pectobacterium,carotovorum,0,0,0,0,1,0,0,2,0,1,1,1,1,0,0,2,1,10,1,1,0,2,1,1,3,0,0,0,1,0,5,1,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,1,0,0,0,1,5,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,1,3,0,6,0,0,0,2,1,1,2,1,2
242,GCF_003312345.1,Pectobacterium,peruviense,0,0,0,1,1,0,0,2,0,1,1,1,1,0,1,2,1,10,1,1,0,2,0,1,3,1,0,0,1,0,5,1,0,4,3,0,1,1,1,1,0,1,1,4,1,2,0,0,1,1,0,1,0,0,0,1,0,0,1,7,0,0,1,1,1,1,2,4,0,1,3,0,1,0,2,1,1,0,3,0,6,0,0,0,2,1,1,2,1,2
243,GCF_013449675.1,Pectobacterium,carotovorum,0,0,0,0,1,0,0,2,0,1,1,1,1,0,0,2,1,10,1,2,0,2,0,1,3,0,0,0,1,0,6,1,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,1,1,0,0,1,0,0,0,1,5,0,0,1,1,1,0,2,4,1,1,2,0,1,0,0,1,1,1,3,0,6,0,0,0,2,1,1,2,1,2
244,GCF_000400505.1,Dickeya,paradisiaca,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,1,5,1,1,1,2,0,0,2,0,0,1,1,0,4,1,0,2,3,1,1,1,2,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,8,0,0,1,1,1,0,2,5,0,1,3,0,1,0,0,1,1,0,4,0,6,0,0,0,1,1,0,0,0,3
245,GCF_005497185.1,Pectobacterium,polonicum,0,0,1,0,1,0,0,2,0,1,1,1,1,0,1,2,1,8,1,1,1,2,0,1,3,1,0,0,1,0,6,3,0,4,2,0,0,1,1,1,0,0,1,2,1,2,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0,1,1,1,1,1,2,1,0,1,3,0,1,0,1,0,1,0,3,0,6,0,0,0,2,1,1,2,1,2
246,GCF_000757625.1,Pectobacterium,parmentieri,0,0,1,1,1,0,0,2,0,1,1,1,1,0,1,2,2,8,1,1,0,2,0,1,3,1,0,0,1,0,6,1,0,3,3,0,1,1,1,1,0,0,2,3,1,2,1,0,1,1,0,1,0,0,0,1,0,0,1,10,0,0,1,1,1,0,2,4,0,1,3,0,1,0,2,0,1,0,3,0,5,0,0,0,2,1,1,1,1,2
247,GCF_000406285.1,Dickeya,aquatica,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,2,4,1,1,1,2,0,0,1,0,0,2,1,0,4,0,0,2,2,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,2,0,0,1,4,0,0,1,1,1,0,2,2,1,1,3,0,1,0,0,0,1,1,5,0,5,1,0,0,1,1,0,2,2,3
248,GCF_016949135.1,Pectobacterium,brasiliense,0,0,1,0,1,0,0,2,0,1,1,1,2,0,0,2,1,11,1,2,0,2,0,0,3,0,0,0,1,0,6,1,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,8,0,1,1,1,1,0,2,2,0,1,3,0,1,0,1,1,1,0,4,0,6,0,0,0,2,1,0,2,1,2
249,GCF_013449605.1,Pectobacterium,carotovorum,0,0,0,0,1,0,0,2,0,1,1,1,1,0,0,2,1,10,1,2,0,2,1,1,3,0,0,0,1,0,8,1,0,3,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,1,0,0,0,1,7,0,0,1,1,1,0,2,4,1,1,2,0,1,0,0,1,1,1,2,0,6,0,0,0,2,1,1,2,1,2
250,GCF_003382625.2,Pectobacterium,aquaticum,0,0,1,0,1,0,0,2,0,1,1,1,1,0,0,1,1,8,1,1,0,2,0,0,2,0,0,0,1,0,6,2,0,3,2,0,1,1,0,1,1,1,1,2,1,2,0,1,1,1,0,0,0,0,1,1,0,0,1,5,0,1,1,1,1,0,2,1,0,1,3,0,1,0,1,0,0,1,3,0,4,0,0,0,2,1,0,1,1,2
251,GCF_018361065.1,Dickeya,dianthicola,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,2,1,5,1,2,1,2,0,0,2,0,0,2,1,0,8,1,0,3,3,0,1,2,1,1,0,0,1,1,2,1,0,0,1,1,0,1,0,1,1,2,0,0,1,8,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,1,4,0,6,0,0,0,1,1,1,2,2,3
252,GCF_016949655.1,Pectobacterium,brasiliense,0,0,1,1,1,0,0,2,0,1,1,1,2,0,0,2,1,10,1,2,1,2,0,1,3,0,0,0,1,0,8,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,8,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,0,3,0,6,0,0,0,2,1,0,2,1,2
253,GCF_003628715.1,Pectobacterium,parmentieri,0,0,1,1,1,0,0,2,0,1,1,1,1,0,1,2,2,8,1,1,0,2,0,1,3,1,0,0,1,0,6,1,0,3,3,0,1,1,1,1,0,0,2,3,1,2,1,0,1,1,0,1,0,0,0,1,0,0,1,10,0,0,1,1,1,0,2,4,0,1,3,0,1,0,2,0,1,0,3,0,5,0,0,0,2,1,1,1,1,2
254,GCF_009931535.1,Pectobacterium,parmentieri,0,0,1,1,1,0,0,2,0,1,1,1,1,0,1,2,2,8,1,1,1,2,0,1,3,1,0,0,0,0,8,2,0,3,3,0,1,1,1,1,0,0,2,2,1,2,1,0,1,1,0,1,0,0,0,1,0,0,1,7,0,0,1,1,1,0,2,4,0,1,3,0,1,0,2,0,1,0,3,0,5,0,0,0,2,1,1,1,1,2
255,GCF_000011605.1,Pectobacterium,atrosepticum,0,0,1,1,1,0,0,2,0,1,1,1,1,0,1,2,1,9,1,1,0,2,1,1,4,1,0,0,1,0,7,0,0,4,3,0,1,1,1,1,0,2,1,2,1,2,0,0,1,1,0,1,0,0,0,1,0,0,1,8,0,1,1,1,1,0,2,5,1,1,3,0,1,0,2,1,1,0,4,0,6,0,0,0,2,1,1,2,1,2
256,GCF_002906735.1,Dickeya,dianthicola,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,2,1,5,1,2,1,2,0,0,2,0,0,2,1,0,8,1,0,3,3,0,1,2,1,1,0,0,1,1,2,1,0,0,1,1,0,1,0,1,1,2,0,0,1,8,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,1,4,0,6,0,0,0,1,1,1,2,2,3
257,GCF_001644705.1,Dickeya,solani,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,2,1,5,1,2,1,2,0,0,2,0,0,2,1,0,5,0,1,4,3,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,2,0,0,1,11,0,0,1,1,1,0,2,7,1,1,3,0,1,0,0,1,1,0,4,0,7,0,0,0,1,1,1,2,1,3
258,GCF_000406245.1,Dickeya,chrysanthemi,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,2,1,5,1,2,1,2,0,0,2,0,0,1,1,0,5,1,0,4,3,0,1,1,1,1,0,0,1,2,1,1,0,0,1,1,1,1,0,0,0,2,0,0,1,8,0,0,1,1,1,0,2,7,1,1,3,0,1,0,0,1,1,0,4,0,6,1,0,0,1,1,1,2,2,3
259,GCF_002904005.1,Pectobacterium,carotovorum,0,0,1,0,1,0,0,2,0,1,1,1,1,0,0,2,1,9,1,1,0,2,0,1,4,0,0,0,1,0,7,2,0,4,2,0,0,2,1,0,0,3,1,1,1,2,0,0,1,1,0,0,0,0,1,1,0,0,1,6,0,0,1,1,1,0,2,3,1,1,3,0,1,0,1,1,1,1,4,0,6,0,0,0,2,1,1,2,1,2
260,GCF_013449375.1,Pectobacterium,sp013449375,0,0,1,0,1,0,0,2,0,1,1,1,2,0,0,2,1,10,1,1,0,2,0,0,2,0,0,0,1,0,5,1,0,4,3,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,8,0,1,1,1,1,0,2,1,0,1,3,0,1,0,1,1,1,0,2,0,5,0,0,0,2,1,0,2,1,2
261,GCF_017897245.1,Dickeya,oryzae,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,4,1,2,1,2,0,0,2,0,0,2,2,0,6,1,0,2,3,1,1,1,2,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,8,0,0,1,1,1,0,2,6,1,1,3,0,1,0,0,1,1,1,4,0,6,0,0,0,1,1,0,2,1,3
